Item			Nano-MoE-Jax				OLMoE-1B-7B				Deepseek-V3			
Field	Unit	Owner	Prefill (value)	Src	Decode (value)	Src	Prefill (value)	Src	Decode (value)	Src	Prefill (value)	Src	Decode (value)	Src
A.  Identity and business case														
Business case / relevance (1 line)	text		Minimal synthetic MoE for REDEFINE RTL dispatch verification; golden-ref for cycle-accurate sim	assumed (golden-ref)	Minimal synthetic MoE for REDEFINE RTL dispatch verification; golden-ref for cycle-accurate sim	assumed (golden-ref)	Production 64-expert MoE (batch=32 ensures cold experts fire); benchmarks REDEFINE dynamic dispatch	OLMoE paper/HF config	Production 64-expert MoE (batch=32 ensures cold experts fire); benchmarks REDEFINE dynamic dispatch	OLMoE paper/HF config	SOTA 671B/37B-active MoE; validates REDEFINE dispatch at 256-expert scale with MLA compressed KV	DeepSeek-V3 report	SOTA 671B/37B-active MoE; validates REDEFINE dispatch at 256-expert scale with MLA compressed KV	DeepSeek-V3 report
B.  Operating point  (pin before any number)														
Batch size	count		1	assumed (golden-ref)	1	assumed (golden-ref)	32	OLMoE paper/HF config	32	OLMoE paper/HF config	32	DeepSeek-V3 report	32	DeepSeek-V3 report
Sequence length (prompt)	tokens		128	assumed (golden-ref)	512	assumed (golden-ref)	512	OLMoE paper/HF config	2048	OLMoE paper/HF config	1024	DeepSeek-V3 report	4096	DeepSeek-V3 report
Context length (Key-Value)	tokens		512	assumed (golden-ref)	512	assumed (golden-ref)	2048	OLMoE paper/HF config	2048	OLMoE paper/HF config	4096	DeepSeek-V3 report	4096	DeepSeek-V3 report
C.  Model architecture														
Total parameters	billions		0.00236	assumed (golden-ref)	0.00236	assumed (golden-ref)	6.747	OLMoE paper/HF config	6.747	OLMoE paper/HF config	670	DeepSeek-V3 report	670	DeepSeek-V3 report
Active parameters per token	billions		0.00075	computed	0.00075	computed	1.007	computed	1.007	computed	35.3	computed	35.3	computed
Layers	count		4	assumed (golden-ref)	4	assumed (golden-ref)	16	OLMoE paper/HF config	16	OLMoE paper/HF config	61	DeepSeek-V3 report	61	DeepSeek-V3 report
Hidden dimension	dim		128	assumed (golden-ref)	128	assumed (golden-ref)	2048	OLMoE paper/HF config	2048	OLMoE paper/HF config	7168	DeepSeek-V3 report	7168	DeepSeek-V3 report
Feedforward dimension (dense)	dim		N/A (MoE only)	assumed (golden-ref)	N/A (MoE only)	assumed (golden-ref)	N/A (MoE only)	OLMoE paper/HF config	N/A (MoE only)	OLMoE paper/HF config	18432 (first 3 layers only)	DeepSeek-V3 report	18432 (first 3 layers only)	DeepSeek-V3 report
Attention: heads / head dim / Key-Value heads	counts		8 / 16 / 8	assumed (golden-ref)	8 / 16 / 8	assumed (golden-ref)	16 / 128 / 8 (GQA)	OLMoE paper/HF config	16 / 128 / 8 (GQA)	OLMoE paper/HF config	128 / 128 / MLA kv_lora=512	DeepSeek-V3 report	128 / 128 / MLA kv_lora=512	DeepSeek-V3 report
Total experts	count		8	assumed (golden-ref)	8	assumed (golden-ref)	64	OLMoE paper/HF config	64	OLMoE paper/HF config	256	DeepSeek-V3 report	256	DeepSeek-V3 report
Experts active per token (top-k)	count		2	assumed (golden-ref)	2	assumed (golden-ref)	8	OLMoE paper/HF config	8	OLMoE paper/HF config	8	DeepSeek-V3 report	8	DeepSeek-V3 report
Shared experts	count		0	assumed (golden-ref)	0	assumed (golden-ref)	0	OLMoE paper/HF config	0	OLMoE paper/HF config	1	DeepSeek-V3 report	1	DeepSeek-V3 report
Expert feedforward dimension	dim		160	assumed (golden-ref)	160	assumed (golden-ref)	1024	OLMoE paper/HF config	1024	OLMoE paper/HF config	2048	DeepSeek-V3 report	2048	DeepSeek-V3 report
Router / gating type	text		Softmax top-2, no aux loss	assumed (golden-ref)	Softmax top-2, no aux loss	assumed (golden-ref)	Softmax top-8 + z-loss regulariser	OLMoE paper/HF config	Softmax top-8 + z-loss regulariser	OLMoE paper/HF config	Top-8 routed + 1 shared; complementary seq-wise aux-free load balancing	DeepSeek-V3 report	Top-8 routed + 1 shared; complementary seq-wise aux-free load balancing	DeepSeek-V3 report
D.  Compute profile														
Multiply-accumulate ops per token	MACs/token		1155072	computed	1548288	computed	1245708288	computed	1346371584	computed	49323966464	computed	58534658048	computed
