metric,unit,model,phase,category,value,source_type,evidence,status,notes
Business case / relevance (1 line),text,Nano-MoE-Jax,Prefill,not_config_verifiable,Minimal synthetic MoE for REDEFINE RTL dispatch verification; golden-ref for cycle-accurate sim,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=assumed (golden-ref)
Business case / relevance (1 line),text,Nano-MoE-Jax,Decode,not_config_verifiable,Minimal synthetic MoE for REDEFINE RTL dispatch verification; golden-ref for cycle-accurate sim,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=assumed (golden-ref)
Business case / relevance (1 line),text,OLMoE-1B-7B,Prefill,not_config_verifiable,Production 64-expert MoE (batch=32 ensures cold experts fire); benchmarks REDEFINE dynamic dispatch,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=OLMoE paper/HF config
Business case / relevance (1 line),text,OLMoE-1B-7B,Decode,not_config_verifiable,Production 64-expert MoE (batch=32 ensures cold experts fire); benchmarks REDEFINE dynamic dispatch,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=OLMoE paper/HF config
Business case / relevance (1 line),text,Deepseek-V3,Prefill,not_config_verifiable,SOTA 671B/37B-active MoE; validates REDEFINE dispatch at 256-expert scale with MLA compressed KV,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=DeepSeek-V3 report
Business case / relevance (1 line),text,Deepseek-V3,Decode,not_config_verifiable,SOTA 671B/37B-active MoE; validates REDEFINE dispatch at 256-expert scale with MLA compressed KV,ai_sheet_unverified,not derivable from config-only verification,unverified_source_value,source=DeepSeek-V3 report
Batch size,count,Nano-MoE-Jax,Prefill,not_config_verifiable,1,sheet_operating_point,"operating point chosen by spreadsheet, not model config",assumption,source=assumed (golden-ref)
Batch size,count,Nano-MoE-Jax,Decode,not_config_verifiable,1,sheet_operating_point,"operating point chosen by spreadsheet, not model config",assumption,source=assumed (golden-ref)
Batch size,count,OLMoE-1B-7B,Prefill,not_config_verifiable,32,sheet_operating_point,"operating point chosen by spreadsheet, not model config",assumption,source=OLMoE paper/HF config
Batch size,count,OLMoE-1B-7B,Decode,not_config_verifiable,32,sheet_operating_point,"operating point chosen by spreadsheet, not model config",assumption,source=OLMoE paper/HF config
Batch size,count,Deepseek-V3,Prefill,not_config_verifiable,32,sheet_operating_point,"operating point chosen by spreadsheet, not model config",assumption,source=DeepSeek-V3 report
Batch size,count,Deepseek-V3,Decode,not_config_verifiable,32,sheet_operating_point,"operating point chosen by spreadsheet, not model config",assumption,source=DeepSeek-V3 report
Sequence length (prompt),tokens,Nano-MoE-Jax,Prefill,not_config_verifiable,128,sheet_operating_point,"operating point chosen by spreadsheet, not model config",assumption,source=assumed (golden-ref)
Sequence length (prompt),tokens,Nano-MoE-Jax,Decode,not_config_verifiable,512,sheet_operating_point,"operating point chosen by spreadsheet, not model config",assumption,source=assumed (golden-ref)
Sequence length (prompt),tokens,OLMoE-1B-7B,Prefill,not_config_verifiable,512,sheet_operating_point,"operating point chosen by spreadsheet, not model config",assumption,source=OLMoE paper/HF config
Sequence length (prompt),tokens,OLMoE-1B-7B,Decode,not_config_verifiable,2048,sheet_operating_point,"operating point chosen by spreadsheet, not model config",assumption,source=OLMoE paper/HF config
Sequence length (prompt),tokens,Deepseek-V3,Prefill,not_config_verifiable,1024,sheet_operating_point,"operating point chosen by spreadsheet, not model config",assumption,source=DeepSeek-V3 report
Sequence length (prompt),tokens,Deepseek-V3,Decode,not_config_verifiable,4096,sheet_operating_point,"operating point chosen by spreadsheet, not model config",assumption,source=DeepSeek-V3 report
Context length (Key-Value),tokens,Nano-MoE-Jax,Prefill,not_config_verifiable,512,sheet_operating_point,"operating point chosen by spreadsheet, not model config",assumption,source=assumed (golden-ref)
Context length (Key-Value),tokens,Nano-MoE-Jax,Decode,not_config_verifiable,512,sheet_operating_point,"operating point chosen by spreadsheet, not model config",assumption,source=assumed (golden-ref)
Context length (Key-Value),tokens,OLMoE-1B-7B,Prefill,not_config_verifiable,2048,sheet_operating_point,"operating point chosen by spreadsheet, not model config",assumption,source=OLMoE paper/HF config
Context length (Key-Value),tokens,OLMoE-1B-7B,Decode,not_config_verifiable,2048,sheet_operating_point,"operating point chosen by spreadsheet, not model config",assumption,source=OLMoE paper/HF config
Context length (Key-Value),tokens,Deepseek-V3,Prefill,not_config_verifiable,4096,sheet_operating_point,"operating point chosen by spreadsheet, not model config",assumption,source=DeepSeek-V3 report
Context length (Key-Value),tokens,Deepseek-V3,Decode,not_config_verifiable,4096,sheet_operating_point,"operating point chosen by spreadsheet, not model config",assumption,source=DeepSeek-V3 report
Total parameters,billions,Nano-MoE-Jax,Prefill,formula,0.00244339,computed_from_config,parameter_count / 1e9; parameter_count = embeddings + decoder projections + experts + lm_head,mismatch,sheet_value=0.00236; sheet_source=assumed (golden-ref); config_source=Nano-MoE-JAX public default config; unit=billions
Total parameters,billions,Nano-MoE-Jax,Decode,formula,0.00244339,computed_from_config,parameter_count / 1e9; parameter_count = embeddings + decoder projections + experts + lm_head,mismatch,sheet_value=0.00236; sheet_source=assumed (golden-ref); config_source=Nano-MoE-JAX public default config; unit=billions
Total parameters,billions,OLMoE-1B-7B,Prefill,formula,6.91903,computed_from_config,parameter_count / 1e9; parameter_count = embeddings + decoder projections + experts + lm_head,mismatch,sheet_value=6.747; sheet_source=OLMoE paper/HF config; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; unit=billions
Total parameters,billions,OLMoE-1B-7B,Decode,formula,6.91903,computed_from_config,parameter_count / 1e9; parameter_count = embeddings + decoder projections + experts + lm_head,mismatch,sheet_value=6.747; sheet_source=OLMoE paper/HF config; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; unit=billions
Total parameters,billions,Deepseek-V3,Prefill,formula,671.025,computed_from_config,parameter_count / 1e9; parameter_count = embeddings + decoder projections + experts + lm_head,mismatch,sheet_value=670; sheet_source=DeepSeek-V3 report; config_source=huggingface:deepseek-ai/DeepSeek-V3@main; unit=billions
Total parameters,billions,Deepseek-V3,Decode,formula,671.025,computed_from_config,parameter_count / 1e9; parameter_count = embeddings + decoder projections + experts + lm_head,mismatch,sheet_value=670; sheet_source=DeepSeek-V3 report; config_source=huggingface:deepseek-ai/DeepSeek-V3@main; unit=billions
Active parameters per token,billions,Nano-MoE-Jax,Prefill,formula,0.0013783,computed_from_config,active_parameter_count / 1e9; active weights = attention/dense/shared weights + top-k routed experts + lm_head,mismatch,sheet_value=0.00075; sheet_source=computed; config_source=Nano-MoE-JAX public default config; unit=billions
Active parameters per token,billions,Nano-MoE-Jax,Decode,formula,0.0013783,computed_from_config,active_parameter_count / 1e9; active weights = attention/dense/shared weights + top-k routed experts + lm_head,mismatch,sheet_value=0.00075; sheet_source=computed; config_source=Nano-MoE-JAX public default config; unit=billions
Active parameters per token,billions,OLMoE-1B-7B,Prefill,formula,1.28188,computed_from_config,active_parameter_count / 1e9; active weights = attention/dense/shared weights + top-k routed experts + lm_head,mismatch,sheet_value=1.007; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; unit=billions
Active parameters per token,billions,OLMoE-1B-7B,Decode,formula,1.28188,computed_from_config,active_parameter_count / 1e9; active weights = attention/dense/shared weights + top-k routed experts + lm_head,mismatch,sheet_value=1.007; sheet_source=computed; config_source=huggingface:allenai/OLMoE-1B-7B-0125@main; unit=billions
Active parameters per token,billions,Deepseek-V3,Prefill,formula,37.5513,computed_from_config,active_parameter_count / 1e9; active weights = attention/dense/shared weights + top-k routed experts + lm_head,mismatch,sheet_value=35.3; sheet_source=computed; config_source=huggingface:deepseek-ai/DeepSeek-V3@main; unit=billions
Active parameters per token,billions,Deepseek-V3,Decode,formula,37.5513,computed_from_config,active_parameter_count / 1e9; active weights = attention/dense/shared weights + top-k routed experts + lm_head,mismatch,sheet_value=35.3; sheet_source=computed; config_source=huggingface:deepseek-ai/DeepSeek-V3@main; unit=billions
Layers,count,Nano-MoE-Jax,Prefill,config,4,config,n_layers,match,config_source=Nano-MoE-JAX public default config
Layers,count,Nano-MoE-Jax,Decode,config,4,config,n_layers,match,config_source=Nano-MoE-JAX public default config
Layers,count,OLMoE-1B-7B,Prefill,config,16,config,num_hidden_layers,match,config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Layers,count,OLMoE-1B-7B,Decode,config,16,config,num_hidden_layers,match,config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Layers,count,Deepseek-V3,Prefill,config,61,config,num_hidden_layers,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Layers,count,Deepseek-V3,Decode,config,61,config,num_hidden_layers,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Hidden dimension,dim,Nano-MoE-Jax,Prefill,config,128,config,d_model,match,config_source=Nano-MoE-JAX public default config
Hidden dimension,dim,Nano-MoE-Jax,Decode,config,128,config,d_model,match,config_source=Nano-MoE-JAX public default config
Hidden dimension,dim,OLMoE-1B-7B,Prefill,config,2048,config,hidden_size,match,config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Hidden dimension,dim,OLMoE-1B-7B,Decode,config,2048,config,hidden_size,match,config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Hidden dimension,dim,Deepseek-V3,Prefill,config,7168,config,hidden_size,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Hidden dimension,dim,Deepseek-V3,Decode,config,7168,config,hidden_size,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Feedforward dimension (dense),dim,Nano-MoE-Jax,Prefill,config,N/A (MoE only),config,"architecture has MoE block, no dense FFN stack",match,config_source=Nano-MoE-JAX public default config
Feedforward dimension (dense),dim,Nano-MoE-Jax,Decode,config,N/A (MoE only),config,"architecture has MoE block, no dense FFN stack",match,config_source=Nano-MoE-JAX public default config
Feedforward dimension (dense),dim,OLMoE-1B-7B,Prefill,config,N/A (MoE only),config,"architecture has MoE block, no dense FFN stack",match,config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Feedforward dimension (dense),dim,OLMoE-1B-7B,Decode,config,N/A (MoE only),config,"architecture has MoE block, no dense FFN stack",match,config_source=huggingface:allenai/OLMoE-1B-7B-0125@main
Feedforward dimension (dense),dim,Deepseek-V3,Prefill,config,18432 (first 3 layers only),config,intermediate_size + first_k_dense_replace,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
Feedforward dimension (dense),dim,Deepseek-V3,Decode,config,18432 (first 3 layers only),config,intermediate_size + first_k_dense_replace,match,config_source=huggingface:deepseek-ai/DeepSeek-V3@main
